/wiki/Andalusian_Progress_Party,/wiki/Canarian_Independent_Groups,/wiki/Confederation_of_the_Greens,/wiki/Democratic_Party_of_the_New_Left,/wiki/Galician_Coalition,/wiki/Galician_Nationalist_Bloc,/wiki/Galician_Socialist_Party%E2%80%93Galician_Left,/wiki/PSM%E2%80%93Nationalist_Agreement,/wiki/Progressives_for_the_Balearic_Islands,/wiki/Ruiz-Mateos_Group,/wiki/Unity_for_the_Isles,AP,AP-PDP-PL,AP–PDP,Amaiur logo.svg,Aralar,BNG–Nós,C's,CC,CDC,CDS,CHA,CUP,CiU,Compromís,Cs,DiL,EA,EE,EHB.png,ERC,ERC–CatSí,FAC,GBai,HB,ICV,IU,IU–LV,IU–UPeC,Isotipo Unidos Podemos.svg,Més,NC,NCa,NaBai,PA,PACMA,PAR,PCE,PDP,PDeCAT,PNV,PP,PRC,PRD,PSOE,Podemos,UA,UCD,UPCA,UPN,UPyD,UV,Unnamed: 0,Vox,date,eQuo,error,firm,lead,size,turnout,unio.cat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,,,34.5,,,,,,,,168,,2010-07-15,,,Metroscopia/El País[p 218],8.8,500.0,75.3,
,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,1.2,,,,,,,6.2,,,,,,,,,,,,,1.2,43.6,,,32.4,,,,,,4.1,,169,,2010-07-13,,,TNS Demoscopia/Antena 3[p 219],11.2,,64.3,
,,,,,0.92,,,,,,,,,,,,,0.61/2,,,,,3.713/14,,,,,,,0.92/3,,,0.31,,,,6.38/9,,,,,,,,,,,,,1.26,45.2173/175,,,35.8137/139,,,,,,3.63/4,,170,,2010-07-09,,,NC Report/La Razón[p 220],9.4,1000.0,69.8,
,,,,,0.82,,,,,,,,,,,,,0.62,,,,,3.413,,,,,,,1.33,,,0.21,,,,5.78,,,,,,,,,,,,,1.37,43.3176,,,34.6136,,,,,0.10,3.12,,171,,2010-07-07,,,GAD/COPE[p 196][p 221][p 222],8.7,500.0,,
,,,,,1.03,,,,,,,,,,,,,0.81,,,,,3.613,,,,,,,0.72,,,0.31,,,,5.97,,,,,,,,,,,,,1.26,43.8165,,,36.1147,,,,,,3.13,,172,,2010-07-07,,,Celeste-Tel[p 200],7.7,1100.0,,
,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,1.3,,,,,,,5.9,,,,,,,,,,,,,1.6,42.9,,,33.3,,,,,,3.9,,173,,2010-07-02,,,Ipsos[p 223][p 224],9.6,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8,,,37.4,,,,,,,,174,,2010-07-02,,,Invymark/laSexta[p 225],7.4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1,,,32.3,,,,,,,,175,,2010-07-01,,,Metroscopia/El País[p 226][p 227],10.8,501.0,75.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,37.4,,,,,,,,176,,2010-06-18,,,Invymark/laSexta[p 228],7.6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,44.5,,,31.6,,,,,,4.3,,177,,2010-06-15,,,TNS Demoscopia/Antena 3[p 229][p 230],12.9,,67.8,
,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,0.9,,,,,,,6.4,,,,,,,,,,,,,0.8,45.3,,,33.5,,,,,,2.9,,178,,2010-06-10,,,DYM/ABC[p 231],11.8,1008.0,,
,,,,,?2,,,,,,,,,,,,,?2,,,,,3.413,,,,,,,1.23,,,?1,,,,4.95,,,,,,,,,,,,,1.26,43.6178,,,34.7137,,,,,,3.73,,179,,2010-06-09,,,GAD/COPE[p 232][p 233],8.9,502.0,,
,,,,,1.3,,,,,,,,,,,,,,,,,,3.5,,,,,,,1.0,,,,,,,7.5,,,,,,,,,,,,,1.2,41.7,,,33.1,,,,,,5.5,,180,,2010-06-09,,,Obradoiro de Socioloxía/Público[p 234],8.6,,,
,,,,,1.03,,,,,,,,,,,,,0.81,,,,,3.613,,,,,,,0.72,,,0.31,,,,5.97,,,,,,,,,,,,,1.26,43.5163,,,36.8149,,,,,,3.13,,181,,2010-06-07,,,Celeste-Tel[p 200],6.7,1100.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,,,37.2,,,,,,,,182,,2010-06-04,,,Invymark/laSexta[p 228],8.9,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,32.5,,,,,,,,183,,2010-06-02,,,Metroscopia/El País[p 235][p 236],10.5,506.0,75.3,
,,,,,0.92/3,,,,,,,,,,,,,0.72,,,,,3.512/13,,,,,,,1.02/3,,,0.21,,,,6.08/9,,,,,,,,,,,,,1.26,45.0172/174,,,36.0137/139,,,,,,3.73/4,,184,,2010-05-28,,,NC Report/La Razón[p 237][p 238],9.0,1000.0,69.9,
,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,0.8,,,,,,,5.1,,,,,,,,,,,,,1.2,45.6,,,35.1,,,,,,3.0,,185,,2010-05-27,,,Sigma Dos/El Mundo[p 239][p 240],10.5,800.0,,
,,,,,,,,,,,,,,,,,,,,,,,3.614/15,,,,,,,1.01/3,,,,,,,6.410/11,,,,,,,,,,,,,1.05/6,42.0173/176,,,34.0131/134,,,,,,5.04/5,,186,,2010-05-21,,,GESOP/El Periódico[p 241][p 242][p 243],8.0,1500.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,,,39.7,,,,,,,,187,,2010-05-21,,,Invymark/laSexta[p 244][p 245],5.4,,,
,,,,,1.2,,,,,,,,,,,,,,,,,,3.2,,,,,,,1.2,,,,,,,6.5,,,,,,,,,,,,,1.1,40.4,,,34.1,,,,,,6.4,,188,,2010-05-19,,,Obradoiro de Socioloxía/Público[p 246],6.3,4002.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,,,33.7,,,,,,,,189,,2010-05-13,,,Metroscopia/El País[p 247],9.1,510.0,75.3,
,,,,,0.6,,,,,,,,,,,,,,,,,,3.5,,,,,,,0.9,,,,,,,7.0,,,,,,,,,,,,,1.1,44.3,,,32.1,,,,,,4.2,,190,,2010-05-13,,,TNS Demoscopia/Antena 3[p 248],12.2,1000.0,67.5,
,,,,,0.72,,,,,,,,,,,,,0.72,,,,,3.513,,,,,,,1.13,,,0.21,,,,5.26,,,,,,,,,,,,,1.16,42.4173,,,35.9140,,,,,0.10,3.94,,191,,2010-05-12,,,GAD/COPE[p 196][p 249][p 250],6.5,500.0,,
,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,1.3,43.2,,,34.4,,,,,,4.1,,192,,2010-05-11,,,Simple Lógica[p 15],8.8,508.0,,
,,,,,0.93,,,,,,,,,,,,,0.92,,,,,3.513,,,,,,,0.72,,,0.31,,,,5.55,,,,,,,,,,,,,1.16,42.9161,,,38.2153,,,,,,3.13,,193,,2010-05-07,,,Celeste-Tel[p 200],4.7,1100.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,40.3,,,,,,,,194,,2010-05-07,,,Invymark/laSexta[p 244],4.7,,,
,,,,,?2,,,,,,,,,,,,,?2,,,,,3.411/12,,,,,,,1.02,,,?1,,,,5.87/8,,,,,,,,,,,,,1.15/6,43.8168/170,,,37.4147/149,,,,,,3.72/3,,195,,2010-04-30,,,NC Report/La Razón[p 251],6.4,1000.0,70.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,,,37.5,,,,,,,,196,,2010-04-29,,,Metroscopia/El País[p 252][p 253],4.2,512.0,75.3,
,,,,,0.6,,,,,,,,,,,,,,,,,,3.1,,,,,,,0.9,,,,,,,5.4,,,,,,,,,,,,,1.1,41.5,,,36.1,,,,,,3.0,,197,,2010-04-27,,,TNS Demoscopia/Antena 3[p 254][p 255],5.4,1000.0,62.0,
,,,,,0.7,,,,,,,,,,,,,0.6,,,,,3.6,,,,,,,1.0,,,0.2,,,,5.8,,,,,,,,,,,,,1.3,39.5,,,38.0,,,,,0.1,3.3,,198,,2010-04-14,,,CIS[p 256][p 257],1.5,2479.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7,,,40.6,,,,,,,,199,,2010-04-09,,,Invymark/laSexta[p 258][p 259],4.1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,,,37.8,,,,,,,,200,,2010-04-08,,,Metroscopia/El País[p 260][p 261],4.0,515.0,75.3,
,,,,,0.93,,,,,,,,,,,,,0.92,,,,,3.513,,,,,,,0.72,,,0.31,,,,5.55,,,,,,,,,,,,,1.26,42.8162,,,38.3152,,,,,,3.03,,201,,2010-04-08,,,Celeste-Tel[p 200],4.5,1100.0,,
,,,,,?2,,,,,,,,,,,,,?2,,,,,3.411/12,,,,,,,1.02,,,?1,,,,5.77/8,,,,,,,,,,,,,1.26,43.6167/169,,,37.6147/149,,,,,,3.72/3,,202,,2010-03-31,,,NC Report/La Razón[p 262],6.0,1000.0,70.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8,,,40.4,,,,,,,,203,,2010-03-26,,,Invymark/laSexta[p 258][p 263],4.4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,,,40.6,,,,,,,,204,,2010-03-12,,,Invymark/laSexta[p 264],4.0,,,
,,,,,0.82,,,,,,,,,,,,,0.72,,,,,3.513,,,,,,,1.13,,,0.21,,,,4.95,,,,,,,,,,,,,1.16,42.5170,,,36.6143,,,,,0.21,4.15,,205,,2010-03-11,,,GAD/COPE[p 196][p 265][p 266],5.9,500.0,,
,,,,,0.93,,,,,,,,,,,,,0.92,,,,,3.412,,,,,,,0.82,,,0.31,,,,5.45,,,,,,,,,,,,,1.26,42.6162,,,38.5153,,,,,,3.13,,206,,2010-03-05,,,Celeste-Tel[p 200],4.1,1100.0,,
,,,,,0.92,,,,,,,,,,,,,0.82,,,,,3.311/12,,,,,,,1.12/3,,,0.21,,,,5.84/6,,,,,,,,,,,,,1.15/6,43.0165/170,,,38.1150/155,,,,,,3.32/3,,207,,2010-03-05,,,Celeste-Tel/Terra[p 267],4.9,1357.0,71.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,37.3,,,,,,,,208,,2010-03-04,,,Metroscopia/El País[p 268][p 269],6.1,500.0,75.3,
,,,,,0.82,,,,,,,,,,,,,0.72,,,,,3.411/12,,,,,,,1.12,,,0.31,,,,5.66/7,,,,,,,,,,,,,1.26,43.6167/169,,,37.6148/150,,,,,,3.72/3,,209,,2010-02-26,,,NC Report/La Razón[p 270],6.0,1000.0,70.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,,,40.5,,,,,,,,210,,2010-02-26,,,Invymark/laSexta[p 264],4.1,,,
,,,,,0.6,,,,,,,,,,,,,,,,,,3.0,,,,,,,0.9,,,,,,,6.0,,,,,,,,,,,,,1.0,41.4,,,34.5,,,,,,4.1,,211,,2010-02-23,,,TNS Demoscopia/Antena 3[p 271][p 272],6.9,1008.0,,
,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,0.9,46.3,,,35.7,,,,,,3.9,,212,,2010-02-11,,,Simple Lógica[p 273][p 274],10.6,1007.0,68.9,
,,,,,0.82,,,,,,,,,,,,,0.72,,,,,3.212,,,,,,,1.13,,,0.21,,,,5.06,,,,,,,,,,,,,1.16,42.9172,,,36.3141,,,,,0.21,3.94,,213,,2010-02-10,,,GAD/COPE[p 275][p 276],6.6,671.0,,
,,,,,?2,,,,,,,,,,,,,?2,,,,,3.411/12,,,,,,,1.12,,,?1,,,,5.45/6,,,,,,,,,,,,,1.26,43.4167/169,,,37.9149/150,,,,,,3.82/3,,214,,2010-02-06,,,NC Report/La Razón[p 277],5.5,1000.0,70.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,,41.0,,,,,,,,215,,2010-02-05,,,Invymark/laSexta[p 264],3.5,,,
,,,,,1.13,,,,,,,,,,,,,1.03,,,,,3.512,,,,,,,0.93,,,0.31,,,,5.87,,,,,,,,,,,,,1.16,42.7162,,,38.1150,,,,,,3.63,,216,,2010-02-05,,,Celeste-Tel[p 278],4.6,1100.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,37.5,,,,,,,,217,,2010-02-04,,,Metroscopia/El País[p 279][p 280],5.9,500.0,75.3,
,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,1.2,,,,,,,4.5,,,,,,,,,,,,,1.2,43.5,,,37.7,,,,,,2.0,,218,,2010-02-04,,,Sigma Dos/El Mundo[p 281][p 282][p 283],5.8,700.0,,
,,,,,1.2,,,,,,,,,,,,,,,,,,2.8,,,,,,,1.1,,,,,,,5.2,,,,,,,,,,,,,1.2,40.4,,,37.8,,,,,,5.1,,219,,2010-01-27,,,Obradoiro de Socioloxía/Público[p 284],2.6,3206.0,,
,,,,,0.7,,,,,,,,,,,,,,,,,,2.9,,,,,,,0.9,,,,,,,5.4,,,,,,,,,,,,,1.1,41.2,,,35.0,,,,,,3.6,,220,,2010-01-26,,,TNS Demoscopia/Antena 3[p 248][p 285],6.2,,,
,,,,,0.8,,,,,,,,,,,,,0.9,,,,,3.7,,,,,,,1.3,,,0.5,,,,6.1,,,,,,,,,,,,,1.0,40.0,,,36.2,,,,,,4.4,,221,,2010-01-21,,,CIS[p 286][p 287],3.8,2477.0,,
,,,,,?2,,,,,,,,,,,,,?2,,,,,3.412,,,,,,,?2,,,?1,,,,4.13,,,,,,,,,,,,,?6,42.6169,,,38.8150,,,,,?1,3.12,,222,,2010-01-15,,,GAD/COPE[p 288][p 289],3.8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,,,41.2,,,,,,,,223,,2010-01-15,,,Invymark/laSexta[p 264],3.1,,,
,,,,,0.93,,,,,,,,,,,,,0.92,,,,,3.412,,,,,,,0.93,,,0.31,,,,5.55,,,,,,,,,,,,,1.16,42.6163,,,38.5151,,,,,,3.43,,224,,2010-01-11,,,Celeste-Tel[p 278],4.1,1100.0,,
,,,,,?2,,,,,,,,,,,,,?2,,,,,3.411/12,,,,,,,1.12,,,?1,,,,5.14/5,,,,,,,,,,,,,1.26,43.3166/168,,,38.2150/152,,,,,,3.62/3,,225,,2010-01-08,,,NC Report/La Razón[p 290],5.1,,71.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,,,38.2,,,,,,,,226,,2010-01-07,,,Metroscopia/El País[p 291][p 292],3.5,504.0,75.3,
,,,,,,,,,,,,,,,,,,,,,,,3.110,,,,,,,0.62,,,,,,,4.74,,,,,,,,,,,,,1.16,41.3164,,,39.4156,,,,,,4.34,,227,,2009-12-29,,,Noxa/La Vanguardia[p 293],1.9,807.0,,
,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,1.4,,,,,,,4.7,,,,,,,,,,,,,1.4,43.6,,,38.5,,,,,,2.4,,228,,2009-12-29,,,Sigma Dos/El Mundo[p 294][p 295][p 296],5.1,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,,,41.2,,,,,,,,229,,2009-12-25,,,Invymark/laSexta[p 297],2.9,,,
,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,1.0,,,,,,,4.7,,,,,,,,,,,,,1.2,43.3,,,38.1,,,,,,2.6,,230,,2009-12-18,,,DYM/ABC[p 298],5.2,1038.0,,
,,,,,,,,,,,,,,,,,,,,,,,3.311/12,,,,,,,1.01/3,,,,,,,4.85/6,,,,,,,,,,,,,1.06/7,42.0165/170,,,36.5145/150,,,,,,4.83/5,,231,,2009-12-17,,,GESOP/El Periódico[p 299][p 300][p 301],5.5,1500.0,,
,,,,,0.8,,,,,,,,,,,,,,,,,,2.8,,,,,,,1.0,,,,,,,5.2,,,,,,,,,,,,,1.2,41.1,,,35.9,,,,,,3.4,,232,,2009-12-15,,,TNS Demoscopia/Antena 3[p 248][p 302],5.2,,,
,,,,,?2,,,,,,,,,,,,,?3,,,,,?12,,,,,,,?3,,,?1,,,,?6,,,,,,,,,,,,,?4,42.4169,,,37.9143,,,,,?1,?6,,233,,2009-12-11,,,GAD/COPE[p 303],4.5,,,
,,,,,0.93,,,,,,,,,,,,,0.92,,,,,3.412,,,,,,,0.93,,,0.31,,,,5.35,,,,,,,,,,,,,1.16,42.4162,,,38.6152,,,,,,3.23,,234,,2009-12-07,,,Celeste-Tel[p 278],3.8,1100.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,,,38.1,,,,,,,,235,,2009-12-03,,,Metroscopia/El País[p 304][p 305],3.4,732.0,75.3,
,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.3,,,,,,,5.0,,,,,,,,,,,,,1.1,39.6,,,38.0,,,,,,5.7,,236,,2009-12-02,,,Obradoiro de Socioloxía/Público[p 306],1.6,3201.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,37.7,,,,,,,,237,,2009-11-29,,,Consultores CSA/La Verdad[p 307],3.3,,,
,,,,,,,,,,,,,,,,,,,,,,,3.411/12,,,,,,,1.12,,,,,,,5.24/5,,,,,,,,,,,,,1.26,43.0165/167,,,38.3151/153,,,,,,3.62/3,,238,,2009-11-26,,,NC Report/La Razón[p 308],4.7,1000.0,71.1,
,,,,,0.6,,,,,,,,,,,,,,,,,,2.8,,,,,,,0.8,,,,,,,5.3,,,,,,,,,,,,,0.9,42.2,,,36.0,,,,,,3.3,,239,,2009-11-17,,,TNS Demoscopia/Antena 3[p 248][p 309],6.2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2167,,,38.1142,,,,,,,,240,,2009-11-11,,,GAD/COPE[p 310][p 311],4.1,650.0,,
,,,,,0.93,,,,,,,,,,,,,0.92,,,,,3.412,,,,,,,0.93,,,0.31,,,,5.35,,,,,,,,,,,,,1.16,42.4162,,,38.8152,,,,,,3.43,,241,,2009-11-06,,,Celeste-Tel[p 278],3.6,1100.0,,
,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,4.9,,,,,,,,,,,,,1.1,42.6,,,39.4,,,,,,2.9,,242,,2009-11-05,,,Sigma Dos/El Mundo[p 312][p 313][p 314],3.2,1000.0,,
,,,,,1.4,,,,,,,,,,,,,,,,,,3.2,,,,,,,1.1,,,,,,,4.7,,,,,,,,,,,,,1.4,40.5,,,36.9,,,,,,5.3,,243,,2009-11-04,,,Obradoiro de Socioloxía/Público[p 315],3.6,3204.0,,
,,,,,,,,,,,,,,,,,,,,,,,3.411/12,,,,,,,1.02,,,,,,,5.14/5,,,,,,,,,,,,,1.26,41.9163/164,,,39.7155/156,,,,,,3.42/3,,244,,2009-10-30,,,NC Report/La Razón[p 316],2.2,1000.0,71.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,,,39.9,,,,,,,,245,,2009-10-29,,,Metroscopia/El País[p 317][p 318],0.4,501.0,75.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,40.0,,,,,,1.4,,246,,2009-10-25,,,Ipsos/Expansión[p 319],2.0,1000.0,66,
,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,1.0,41.8,,,37.4,,,,,,3.5,,247,,2009-10-21,,,Simple Lógica[p 320],4.4,1025.0,66.5,
,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,1.1,,,,,,,4.1,,,,,,,,,,,,,1.1,44.7,,,39.5,,,,,,2.7,,248,,2009-10-17,,,Intercampo/GETS[p 321][p 322],5.2,1739.0,High,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3,,,39.0,,,,,,,,250,,2009-10-15,,,Metroscopia/El País[p 323],2.3,500.0,75.3,
,,,,,0.8,,,,,,,,,,,,,0.5,,,,,3.7,,,,,,,1.5,,,0.1,,,,4.7,,,,,,,,,,,,,1.3,41.0,,,37.7,,,,,,3.7,,251,,2009-10-14,,,CIS[p 324][p 325],3.3,2478.0,,
,,,,,0.93,,,,,,,,,,,,,0.92,,,,,3.412,,,,,,,0.93,,,0.31,,,,5.25,,,,,,,,,,,,,1.16,42.0161,,,39.6153,,,,,,3.23,,252,,2009-10-07,,,Celeste-Tel[p 278],2.4,1100.0,,
,,,,,1.0,,,,,,,,,,,,,,,,,,2.2,,,,,,,0.8,,,,,,,4.4,,,,,,,,,,,,,0.8,43.0,,,38.0,,,,,,5.2,,253,,2009-10-07,,,Obradoiro de Socioloxía/Público[p 326],5.0,3202.0,,
,,,,,0.6,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,5.3,,,,,,,,,,,,,1.1,41.4,,,36.8,,,,,,3.2,,254,,2009-10-06,,,TNS Demoscopia/Antena 3[p 327][p 328],4.6,1003.0,,
,,,,,?2,,,,,,,,,,,,,?2,,,,,3.411/12,,,,,,,1.02,,,?1,,,,5.04/5,,,,,,,,,,,,,1.26,42.1164/165,,,39.8154/155,,,,,,3.22/3,,255,,2009-10-02,,,NC Report/La Razón[p 329],2.3,1000.0,71.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,,,38.0,,,,,,,,256,,2009-10-01,,,Metroscopia/El País[p 330][p 331],3.6,501.0,75.3,
,,,,,,,,,,,,,,,,,,,,,,,2.59,,,,,,,1.43,,,,,,,5.54,,,,,,,,,,,,,0.95,42.4169,,,38.0151,,,,,,4.44,,257,,2009-10-01,,,Noxa/La Vanguardia[p 332],4.4,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,,,41.0,,,,,,,,258,,2009-09-25,,,Invymark/laSexta[p 333],2.8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6,,,41.1,,,,,,,,259,,2009-09-11,,,Invymark/laSexta[p 334],2.5,,,
,,,,,0.93,,,,,,,,,,,,,0.92,,,,,3.312,,,,,,,0.93,,,0.31,,,,5.15,,,,,,,,,,,,,1.16,41.8160,,,39.9154,,,,,,3.13,,260,,2009-09-07,,,Celeste-Tel[p 278],1.9,1100.0,,
,,,,,?2,,,,,,,,,,,,,?2,,,,,3.311,,,,,,,1.12,,,?1,,,,4.93/4,,,,,,,,,,,,,1.26,42.0164/165,,,39.9155/156,,,,,,3.22/3,,261,,2009-09-03,,,NC Report/La Razón[p 335],2.1,1000.0,71.7,
,,,,,0.82,,,,,,,,,,,,,0.52,,,,,3.411,,,,,,,1.66,,,0.10,,,,4.64/5,,,,,,,,,,,,,1.26,40.2158/161,,,39.0154/158,,,,,,3.23,,262,,2009-07-13,,,CIS[p 336][p 337][p 338],1.2,2482.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,,,41.7,,,,,,,,263,,2009-07-10,,,Invymark/laSexta[p 339],1.1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,,,38.7,,,,,,,,264,,2009-07-09,,,Metroscopia/El País[p 340][p 341],3.1,500.0,75.3,
,,,,,0.93,,,,,,,,,,,,,0.92,,,,,3.212,,,,,,,1.03,,,0.31,,,,5.15,,,,,,,,,,,,,1.26,41.7159,,,40.1155,,,,,,3.13,,265,,2009-07-07,,,Celeste-Tel[p 278],1.6,1100.0,,
,,,,,0.82,,,,,,,,,,,,,0.72,,,,,3.311/12,,,,,,,1.02,,,0.31,,,,4.63/4,,,,,,,,,,,,,1.36,42.1162/163,,,40.3156/157,,,,,,3.12/3,,266,,2009-07-03,,,NC Report/La Razón[p 342],1.8,1000.0,71.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,,,41.8,,,,,,,,267,,2009-06-26,,,Invymark/laSexta[p 343][p 344],1.0,,,
,,,,,0.6,,,,,,,,,,,,,,,,,,3.1,,,,,,,1.1,,,,,,,4.4,,,,,,,,,,,,,1.1,41.7,,,39.2,,,,,,4.0,,268,,2009-06-23,,,TNS Demoscopia/Antena 3[p 248][p 345],2.5,,,
,,,,,0.9,,,,,,,,,,,,,,,,,,2.8,,,,,,,0.9,,,,,,,3.9,,,,,,,,,,,,,0.8,41.8,,,40.3,,,,,,3.7,,269,,2009-06-17,,,Obradoiro de Socioloxía/Público[p 346],1.5,3200.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,,,41.5,,,,,,,,270,,2009-06-12,,,Invymark/laSexta[p 347],1.4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,38.9,,,,,,,,271,,2009-06-09,,,Metroscopia/El País[p 348][p 349],2.0,500.0,75.3,
,,,,,0.82,,,,,,,,,,,,,0.72,,,,,3.311/12,,,,,,,1.12,,,0.31,,,,4.83/4,,,,,,,,,,,,,1.26,41.8162/164,,,40.2157/158,,,,,,3.02/3,,272,,2009-06-08,,,NC Report/La Razón[p 350],1.6,1000.0,71.8,
,,,,,0.70,,,,,,,,,0.92,,,,0.62,,,,,2.813,0.10,,,,,,1.34,,,,,,,3.73,,,,,,,0.20,,,,,,1.36,42.1169,,,38.8149,,,,,,2.92,,273,,2009-06-07,,,2009 EP election,3.3,,44.9,
,,,,,0.93,,,,,,,,,,,,,0.92,,,,,3.312,,,,,,,1.03,,,0.31,,,,5.35,,,,,,,,,,,,,1.26,42.0159,,,39.7155,,,,,,3.33,,274,,2009-06-05,,,Celeste-Tel[p 278],2.3,1100.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,42.8,,,40.6,,,,,,2.6,,275,,2009-05-28,,,Sigma Dos/El Mundo[p 351][p 352][p 353],2.2,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,40.9,,,38.7,,,,,,2.2,,276,,2009-05-28,,,DYM/ABC[p 354],2.2,1040.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.014/16,,,,,,,0.91,,,,,,,4.23,,,,,,,,,,,,,1.46/7,38.0150/153,,,40.8162/164,,,,,,4.85,,277,,2009-05-28,,,Noxa/La Vanguardia[p 355],2.8,1000.0,,
