,firm,date,size,Turnout,PSOE,PP,IU–LV,CiU,PNV,UPyD,ERC,BNG,/wiki/Galician_Nationalist_Bloc,CC,PA,GBai,PSM,Compromís,/wiki/PSM%E2%80%93Nationalist_Agreement,UPN,Amaiur logo.svg,FAC,PRC,Lead
142,Celeste-Tel[p 146],8 Nov 2010,1100,?,34.8138,44.4172,6.98,4.014,1.26,3.64,0.62,1.03,0.61,–,0.31,–,–,–,–,–,–,–,–,9.6
143,Metroscopia/El País[p 183][p 184],4 Nov 2010,1000,75.3,33.8,42.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.1
144,Opina/Cadena SER[p 185][p 186],29 Oct 2010,1000,?,37.5,45.0,5.5,3.5,1.0,3.4,1.0,–,–,–,–,–,–,–,–,–,–,–,–,7.5
145,Noxa/La Vanguardia[p 187],28 Oct 2010,1000,?,33.0133,42.8175,6.67,4.215,1.99,5.15,0.62,–,–,–,–,–,–,–,–,–,–,–,–,9.8
146,TNS Demoscopia/Antena 3[p 188][p 189],21 Oct 2010,?,70.0,34.2,44.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,10.1
147,Sigma Dos/El Mundo[p 190][p 191],21 Oct 2010,1000,?,33.8,46.4,6.1,3.3,1.3,1.9,1.0,–,–,–,–,–,–,–,–,–,–,–,–,12.6
148,Intercampo/GETS[p 192][p 193],17 Oct 2010,1734,High,32.4,47.6,6.8,4.4,1.3,2.7,0.5,–,–,–,–,–,–,–,–,–,–,–,–,15.2
150,CIS[p 194][p 195],14 Oct 2010,2475,?,34.3,42.2,6.2,3.5,1.2,4.1,0.8,0.8,0.7,–,0.2,–,–,0.0,–,–,–,–,–,7.9
151,JM&A[p 170],13 Oct 2010,?,68.2,29.2,45.9,6.8,3.0,–,5.4,–,–,–,–,–,–,–,–,–,–,–,–,–,16.7
152,GAD/COPE[p 196][p 197],13 Oct 2010,501,?,33.9130,43.6178,6.310,3.514,1.37,3.63,1.13,0.92,0.52,–,0.21,–,–,0.10,–,–,–,–,–,9.7
153,Opina/Cadena SER[p 198],8 Oct 2010,1000,?,34.0,46.5,6.0,4.0,2.0,3.0,0.6,–,–,–,–,–,–,–,–,–,–,–,–,12.5
154,NC Report/La Razón[p 199],7 Oct 2010,1000,69.3,32.5131/134,46.3175/178,7.712/15,4.114/15,1.26,3.63/4,0.91/2,0.92,0.41,–,0.31,–,–,–,–,–,–,–,–,13.8
155,Celeste-Tel[p 200],7 Oct 2010,1100,?,35.0140,44.0169,6.79,3.814,1.26,3.54,0.72,1.03,0.71,–,0.31,–,–,–,–,–,–,–,–,9.0
156,Obradoiro de Socioloxía/Público[p 201][p 202],7 Oct 2010,2329,65,29.4,42.8,6.9,4.8,0.9,5.4,1.1,1.4,–,–,–,–,–,–,–,–,–,–,–,13.4
157,Metroscopia/El País[p 203][p 204],30 Sep 2010,500,75.3,28.5,43.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.5
158,TNS Demoscopia/Antena 3[p 205][p 206],21 Sep 2010,?,68.0,31.1,44.6,7.8,3.6,1.0,3.9,1.0,–,–,–,–,–,–,–,–,–,–,–,–,13.5
159,GAD/COPE[p 196][p 207][p 208],15 Sep 2010,500,?,34.9137,43.1174,6.19,3.413,1.37,3.32,1.23,0.92,0.52,–,0.21,–,–,0.10,–,–,–,–,–,8.2
160,NC Report/La Razón[p 209],10 Sep 2010,1000,69.6,35.4136/138,45.4173/175,6.28/9,4.113/14,1.26,3.63/4,0.92,0.92,0.51,–,0.21,–,–,–,–,–,–,–,–,10.0
161,Celeste-Tel[p 200],7 Sep 2010,1100,?,35.2147,43.8165,6.48,3.713,1.26,3.33,0.72,1.03,0.71,–,0.31,–,–,–,–,–,–,–,–,8.6
162,Metroscopia/El País[p 210][p 211],2 Sep 2010,500,75.3,32.9,41.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.9
163,Opina/Cadena SER[p 212][p 213],31 Aug 2010,1000,?,36.5,44.5,6.0,3.5,1.5,2.5,0.6,–,–,–,–,–,–,–,–,–,–,–,–,8.0
164,JM&A[p 170],6 Aug 2010,?,68.2,31.6,42.9,5.6,4.0,–,4.7,–,–,–,–,–,–,–,–,–,–,–,–,–,11.3
165,Celeste-Tel[p 200],30 Jul 2010,1100,?,35.8147,43.9166,6.37,3.613,1.26,3.23,0.72,1.03,0.81,–,0.31,–,–,–,–,–,–,–,–,8.1
166,Metroscopia/El País[p 214][p 215],29 Jul 2010,500,75.3,33.6,41.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.7
167,CIS[p 216][p 217],22 Jul 2010,2472,?,34.9,41.2,5.4,4.1,1.3,3.8,1.4,1.1,0.4,–,0.1,–,–,0.5,–,–,–,–,–,6.3
168,Metroscopia/El País[p 218],15 Jul 2010,500,75.3,34.5,43.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.8
169,TNS Demoscopia/Antena 3[p 219],13 Jul 2010,?,64.3,32.4,43.6,6.2,3.6,1.2,4.1,1.2,–,–,–,–,–,–,–,–,–,–,–,–,11.2
170,NC Report/La Razón[p 220],9 Jul 2010,1000,69.8,35.8137/139,45.2173/175,6.38/9,3.713/14,1.26,3.63/4,0.92/3,0.92,0.61/2,–,0.31,–,–,–,–,–,–,–,–,9.4
171,GAD/COPE[p 196][p 221][p 222],7 Jul 2010,500,?,34.6136,43.3176,5.78,3.413,1.37,3.12,1.33,0.82,0.62,–,0.21,–,–,0.10,–,–,–,–,–,8.7
172,Celeste-Tel[p 200],7 Jul 2010,1100,?,36.1147,43.8165,5.97,3.613,1.26,3.13,0.72,1.03,0.81,–,0.31,–,–,–,–,–,–,–,–,7.7
173,Ipsos[p 223][p 224],2 Jul 2010,1000,?,33.3,42.9,5.9,3.7,1.6,3.9,1.3,–,–,–,–,–,–,–,–,–,–,–,–,9.6
174,Invymark/laSexta[p 225],2 Jul 2010,?,?,37.4,44.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.4
175,Metroscopia/El País[p 226][p 227],1 Jul 2010,501,75.3,32.3,43.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,10.8
176,Invymark/laSexta[p 228],18 Jun 2010,?,?,37.4,45.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.6
177,TNS Demoscopia/Antena 3[p 229][p 230],15 Jun 2010,?,67.8,31.6,44.5,7.7,–,–,4.3,–,–,–,–,–,–,–,–,–,–,–,–,–,12.9
178,DYM/ABC[p 231],10 Jun 2010,1008,?,33.5,45.3,6.4,4.2,0.8,2.9,0.9,–,–,–,–,–,–,–,–,–,–,–,–,11.8
179,GAD/COPE[p 232][p 233],9 Jun 2010,502,?,34.7137,43.6178,4.95,3.413,1.26,3.73,1.23,?2,?2,–,?1,–,–,–,–,–,–,–,–,8.9
180,Obradoiro de Socioloxía/Público[p 234],9 Jun 2010,?,?,33.1,41.7,7.5,3.5,1.2,5.5,1.0,1.3,–,–,–,–,–,–,–,–,–,–,–,8.6
181,Celeste-Tel[p 200],7 Jun 2010,1100,?,36.8149,43.5163,5.97,3.613,1.26,3.13,0.72,1.03,0.81,–,0.31,–,–,–,–,–,–,–,–,6.7
182,Invymark/laSexta[p 228],4 Jun 2010,?,?,37.2,46.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.9
183,Metroscopia/El País[p 235][p 236],2 Jun 2010,506,75.3,32.5,43.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,10.5
184,NC Report/La Razón[p 237][p 238],28 May 2010,1000,69.9,36.0137/139,45.0172/174,6.08/9,3.512/13,1.26,3.73/4,1.02/3,0.92/3,0.72,–,0.21,–,–,–,–,–,–,–,–,9.0
185,Sigma Dos/El Mundo[p 239][p 240],27 May 2010,800,?,35.1,45.6,5.1,3.3,1.2,3.0,0.8,–,–,–,–,–,–,–,–,–,–,–,–,10.5
186,GESOP/El Periódico[p 241][p 242][p 243],21 May 2010,1500,?,34.0131/134,42.0173/176,6.410/11,3.614/15,1.05/6,5.04/5,1.01/3,–,–,–,–,–,–,–,–,–,–,–,–,8.0
187,Invymark/laSexta[p 244][p 245],21 May 2010,?,?,39.7,45.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.4
188,Obradoiro de Socioloxía/Público[p 246],19 May 2010,4002,?,34.1,40.4,6.5,3.2,1.1,6.4,1.2,1.2,–,–,–,–,–,–,–,–,–,–,–,6.3
189,Metroscopia/El País[p 247],13 May 2010,510,75.3,33.7,42.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.1
190,TNS Demoscopia/Antena 3[p 248],13 May 2010,1000,67.5,32.1,44.3,7.0,3.5,1.1,4.2,0.9,0.6,–,–,–,–,–,–,–,–,–,–,–,12.2
191,GAD/COPE[p 196][p 249][p 250],12 May 2010,500,?,35.9140,42.4173,5.26,3.513,1.16,3.94,1.13,0.72,0.72,–,0.21,–,–,0.10,–,–,–,–,–,6.5
192,Simple Lógica[p 15],11 May 2010,508,?,34.4,43.2,4.8,2.8,1.3,4.1,–,–,–,–,–,–,–,–,–,–,–,–,–,8.8
193,Celeste-Tel[p 200],7 May 2010,1100,?,38.2153,42.9161,5.55,3.513,1.16,3.13,0.72,0.93,0.92,–,0.31,–,–,–,–,–,–,–,–,4.7
194,Invymark/laSexta[p 244],7 May 2010,?,?,40.3,45.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.7
195,NC Report/La Razón[p 251],30 Apr 2010,1000,70.6,37.4147/149,43.8168/170,5.87/8,3.411/12,1.15/6,3.72/3,1.02,?2,?2,–,?1,–,–,–,–,–,–,–,–,6.4
196,Metroscopia/El País[p 252][p 253],29 Apr 2010,512,75.3,37.5,41.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.2
197,TNS Demoscopia/Antena 3[p 254][p 255],27 Apr 2010,1000,62.0,36.1,41.5,5.4,3.1,1.1,3.0,0.9,0.6,–,–,–,–,–,–,–,–,–,–,–,5.4
198,CIS[p 256][p 257],14 Apr 2010,2479,?,38.0,39.5,5.8,3.6,1.3,3.3,1.0,0.7,0.6,–,0.2,–,–,0.1,–,–,–,–,–,1.5
199,Invymark/laSexta[p 258][p 259],9 Apr 2010,?,?,40.6,44.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.1
200,Metroscopia/El País[p 260][p 261],8 Apr 2010,515,75.3,37.8,41.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.0
201,Celeste-Tel[p 200],8 Apr 2010,1100,?,38.3152,42.8162,5.55,3.513,1.26,3.03,0.72,0.93,0.92,–,0.31,–,–,–,–,–,–,–,–,4.5
202,NC Report/La Razón[p 262],31 Mar 2010,1000,70.7,37.6147/149,43.6167/169,5.77/8,3.411/12,1.26,3.72/3,1.02,?2,?2,–,?1,–,–,–,–,–,–,–,–,6.0
203,Invymark/laSexta[p 258][p 263],26 Mar 2010,?,?,40.4,44.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.4
204,Invymark/laSexta[p 264],12 Mar 2010,?,?,40.6,44.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.0
205,GAD/COPE[p 196][p 265][p 266],11 Mar 2010,500,?,36.6143,42.5170,4.95,3.513,1.16,4.15,1.13,0.82,0.72,–,0.21,–,–,0.21,–,–,–,–,–,5.9
206,Celeste-Tel[p 200],5 Mar 2010,1100,?,38.5153,42.6162,5.45,3.412,1.26,3.13,0.82,0.93,0.92,–,0.31,–,–,–,–,–,–,–,–,4.1
207,Celeste-Tel/Terra[p 267],5 Mar 2010,1357,71.1,38.1150/155,43.0165/170,5.84/6,3.311/12,1.15/6,3.32/3,1.12/3,0.92,0.82,–,0.21,–,–,–,–,–,–,–,–,4.9
208,Metroscopia/El País[p 268][p 269],4 Mar 2010,500,75.3,37.3,43.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.1
209,NC Report/La Razón[p 270],26 Feb 2010,1000,70.7,37.6148/150,43.6167/169,5.66/7,3.411/12,1.26,3.72/3,1.12,0.82,0.72,–,0.31,–,–,–,–,–,–,–,–,6.0
210,Invymark/laSexta[p 264],26 Feb 2010,?,?,40.5,44.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.1
211,TNS Demoscopia/Antena 3[p 271][p 272],23 Feb 2010,1008,?,34.5,41.4,6.0,3.0,1.0,4.1,0.9,0.6,–,–,–,–,–,–,–,–,–,–,–,6.9
212,Simple Lógica[p 273][p 274],11 Feb 2010,1007,68.9,35.7,46.3,5.3,2.8,0.9,3.9,–,–,–,–,–,–,–,–,–,–,–,–,–,10.6
213,GAD/COPE[p 275][p 276],10 Feb 2010,671,?,36.3141,42.9172,5.06,3.212,1.16,3.94,1.13,0.82,0.72,–,0.21,–,–,0.21,–,–,–,–,–,6.6
214,NC Report/La Razón[p 277],6 Feb 2010,1000,70.7,37.9149/150,43.4167/169,5.45/6,3.411/12,1.26,3.82/3,1.12,?2,?2,–,?1,–,–,–,–,–,–,–,–,5.5
215,Invymark/laSexta[p 264],5 Feb 2010,?,?,41.0,44.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5
216,Celeste-Tel[p 278],5 Feb 2010,1100,?,38.1150,42.7162,5.87,3.512,1.16,3.63,0.93,1.13,1.03,–,0.31,–,–,–,–,–,–,–,–,4.6
217,Metroscopia/El País[p 279][p 280],4 Feb 2010,500,75.3,37.5,43.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.9
218,Sigma Dos/El Mundo[p 281][p 282][p 283],4 Feb 2010,700,?,37.7,43.5,4.5,3.1,1.2,2.0,1.2,–,–,–,–,–,–,–,–,–,–,–,–,5.8
219,Obradoiro de Socioloxía/Público[p 284],27 Jan 2010,3206,?,37.8,40.4,5.2,2.8,1.2,5.1,1.1,1.2,–,–,–,–,–,–,–,–,–,–,–,2.6
220,TNS Demoscopia/Antena 3[p 248][p 285],26 Jan 2010,?,?,35.0,41.2,5.4,2.9,1.1,3.6,0.9,0.7,–,–,–,–,–,–,–,–,–,–,–,6.2
221,CIS[p 286][p 287],21 Jan 2010,2477,?,36.2,40.0,6.1,3.7,1.0,4.4,1.3,0.8,0.9,–,0.5,–,–,–,–,–,–,–,–,3.8
222,GAD/COPE[p 288][p 289],15 Jan 2010,?,?,38.8150,42.6169,4.13,3.412,?6,3.12,?2,?2,?2,–,?1,–,–,?1,–,–,–,–,–,3.8
223,Invymark/laSexta[p 264],15 Jan 2010,?,?,41.2,44.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.1
224,Celeste-Tel[p 278],11 Jan 2010,1100,?,38.5151,42.6163,5.55,3.412,1.16,3.43,0.93,0.93,0.92,–,0.31,–,–,–,–,–,–,–,–,4.1
225,NC Report/La Razón[p 290],8 Jan 2010,?,71.0,38.2150/152,43.3166/168,5.14/5,3.411/12,1.26,3.62/3,1.12,?2,?2,–,?1,–,–,–,–,–,–,–,–,5.1
226,Metroscopia/El País[p 291][p 292],7 Jan 2010,504,75.3,38.2,41.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5
227,Noxa/La Vanguardia[p 293],29 Dec 2009,807,?,39.4156,41.3164,4.74,3.110,1.16,4.34,0.62,–,–,–,–,–,–,–,–,–,–,–,–,1.9
228,Sigma Dos/El Mundo[p 294][p 295][p 296],29 Dec 2009,1000,?,38.5,43.6,4.7,2.7,1.4,2.4,1.4,–,–,–,–,–,–,–,–,–,–,–,–,5.1
229,Invymark/laSexta[p 297],25 Dec 2009,?,?,41.2,44.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.9
230,DYM/ABC[p 298],18 Dec 2009,1038,?,38.1,43.3,4.7,3.2,1.2,2.6,1.0,–,–,–,–,–,–,–,–,–,–,–,–,5.2
231,GESOP/El Periódico[p 299][p 300][p 301],17 Dec 2009,1500,?,36.5145/150,42.0165/170,4.85/6,3.311/12,1.06/7,4.83/5,1.01/3,–,–,–,–,–,–,–,–,–,–,–,–,5.5
232,TNS Demoscopia/Antena 3[p 248][p 302],15 Dec 2009,?,?,35.9,41.1,5.2,2.8,1.2,3.4,1.0,0.8,–,–,–,–,–,–,–,–,–,–,–,5.2
233,GAD/COPE[p 303],11 Dec 2009,?,?,37.9143,42.4169,?6,?12,?4,?6,?3,?2,?3,–,?1,–,–,?1,–,–,–,–,–,4.5
234,Celeste-Tel[p 278],7 Dec 2009,1100,?,38.6152,42.4162,5.35,3.412,1.16,3.23,0.93,0.93,0.92,–,0.31,–,–,–,–,–,–,–,–,3.8
235,Metroscopia/El País[p 304][p 305],3 Dec 2009,732,75.3,38.1,41.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.4
236,Obradoiro de Socioloxía/Público[p 306],2 Dec 2009,3201,?,38.0,39.6,5.0,3.0,1.1,5.7,1.3,1.0,–,–,–,–,–,–,–,–,–,–,–,1.6
237,Consultores CSA/La Verdad[p 307],29 Nov 2009,?,?,37.7,41.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.3
238,NC Report/La Razón[p 308],26 Nov 2009,1000,71.1,38.3151/153,43.0165/167,5.24/5,3.411/12,1.26,3.62/3,1.12,–,–,–,–,–,–,–,–,–,–,–,–,4.7
239,TNS Demoscopia/Antena 3[p 248][p 309],17 Nov 2009,?,?,36.0,42.2,5.3,2.8,0.9,3.3,0.8,0.6,–,–,–,–,–,–,–,–,–,–,–,6.2
240,GAD/COPE[p 310][p 311],11 Nov 2009,650,?,38.1142,42.2167,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.1
241,Celeste-Tel[p 278],6 Nov 2009,1100,?,38.8152,42.4162,5.35,3.412,1.16,3.43,0.93,0.93,0.92,–,0.31,–,–,–,–,–,–,–,–,3.6
242,Sigma Dos/El Mundo[p 312][p 313][p 314],5 Nov 2009,1000,?,39.4,42.6,4.9,3.0,1.1,2.9,1.0,–,–,–,–,–,–,–,–,–,–,–,–,3.2
243,Obradoiro de Socioloxía/Público[p 315],4 Nov 2009,3204,?,36.9,40.5,4.7,3.2,1.4,5.3,1.1,1.4,–,–,–,–,–,–,–,–,–,–,–,3.6
244,NC Report/La Razón[p 316],30 Oct 2009,1000,71.6,39.7155/156,41.9163/164,5.14/5,3.411/12,1.26,3.42/3,1.02,–,–,–,–,–,–,–,–,–,–,–,–,2.2
245,Metroscopia/El País[p 317][p 318],29 Oct 2009,501,75.3,39.9,40.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.4
246,Ipsos/Expansión[p 319],25 Oct 2009,1000,66,40.0,42.0,–,–,–,1.4,–,–,–,–,–,–,–,–,–,–,–,–,–,2.0
247,Simple Lógica[p 320],21 Oct 2009,1025,66.5,37.4,41.8,3.6,3.3,1.0,3.5,–,–,–,–,–,–,–,–,–,–,–,–,–,4.4
248,Intercampo/GETS[p 321][p 322],17 Oct 2009,1739,High,39.5,44.7,4.1,3.2,1.1,2.7,1.1,–,–,–,–,–,–,–,–,–,–,–,–,5.2
250,Metroscopia/El País[p 323],15 Oct 2009,500,75.3,39.0,41.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.3
251,CIS[p 324][p 325],14 Oct 2009,2478,?,37.7,41.0,4.7,3.7,1.3,3.7,1.5,0.8,0.5,–,0.1,–,–,–,–,–,–,–,–,3.3
252,Celeste-Tel[p 278],7 Oct 2009,1100,?,39.6153,42.0161,5.25,3.412,1.16,3.23,0.93,0.93,0.92,–,0.31,–,–,–,–,–,–,–,–,2.4
253,Obradoiro de Socioloxía/Público[p 326],7 Oct 2009,3202,?,38.0,43.0,4.4,2.2,0.8,5.2,0.8,1.0,–,–,–,–,–,–,–,–,–,–,–,5.0
254,TNS Demoscopia/Antena 3[p 327][p 328],6 Oct 2009,1003,?,36.8,41.4,5.3,3.0,1.1,3.2,1.0,0.6,–,–,–,–,–,–,–,–,–,–,–,4.6
255,NC Report/La Razón[p 329],2 Oct 2009,1000,71.6,39.8154/155,42.1164/165,5.04/5,3.411/12,1.26,3.22/3,1.02,?2,?2,–,?1,–,–,–,–,–,–,–,–,2.3
256,Metroscopia/El País[p 330][p 331],1 Oct 2009,501,75.3,38.0,41.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.6
257,Noxa/La Vanguardia[p 332],1 Oct 2009,1000,?,38.0151,42.4169,5.54,2.59,0.95,4.44,1.43,–,–,–,–,–,–,–,–,–,–,–,–,4.4
258,Invymark/laSexta[p 333],25 Sep 2009,?,?,41.0,43.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.8
259,Invymark/laSexta[p 334],11 Sep 2009,?,?,41.1,43.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.5
260,Celeste-Tel[p 278],7 Sep 2009,1100,?,39.9154,41.8160,5.15,3.312,1.16,3.13,0.93,0.93,0.92,–,0.31,–,–,–,–,–,–,–,–,1.9
261,NC Report/La Razón[p 335],3 Sep 2009,1000,71.7,39.9155/156,42.0164/165,4.93/4,3.311,1.26,3.22/3,1.12,?2,?2,–,?1,–,–,–,–,–,–,–,–,2.1
262,CIS[p 336][p 337][p 338],13 Jul 2009,2482,?,39.0154/158,40.2158/161,4.64/5,3.411,1.26,3.23,1.66,0.82,0.52,–,0.10,–,–,–,–,–,–,–,–,1.2
263,Invymark/laSexta[p 339],10 Jul 2009,?,?,41.7,42.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.1
264,Metroscopia/El País[p 340][p 341],9 Jul 2009,500,75.3,38.7,41.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.1
265,Celeste-Tel[p 278],7 Jul 2009,1100,?,40.1155,41.7159,5.15,3.212,1.26,3.13,1.03,0.93,0.92,–,0.31,–,–,–,–,–,–,–,–,1.6
266,NC Report/La Razón[p 342],3 Jul 2009,1000,71.7,40.3156/157,42.1162/163,4.63/4,3.311/12,1.36,3.12/3,1.02,0.82,0.72,–,0.31,–,–,–,–,–,–,–,–,1.8
267,Invymark/laSexta[p 343][p 344],26 Jun 2009,?,?,41.8,42.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.0
268,TNS Demoscopia/Antena 3[p 248][p 345],23 Jun 2009,?,?,39.2,41.7,4.4,3.1,1.1,4.0,1.1,0.6,–,–,–,–,–,–,–,–,–,–,–,2.5
269,Obradoiro de Socioloxía/Público[p 346],17 Jun 2009,3200,?,40.3,41.8,3.9,2.8,0.8,3.7,0.9,0.9,–,–,–,–,–,–,–,–,–,–,–,1.5
270,Invymark/laSexta[p 347],12 Jun 2009,?,?,41.5,42.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.4
271,Metroscopia/El País[p 348][p 349],9 Jun 2009,500,75.3,38.9,40.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.0
272,NC Report/La Razón[p 350],8 Jun 2009,1000,71.8,40.2157/158,41.8162/164,4.83/4,3.311/12,1.26,3.02/3,1.12,0.82,0.72,–,0.31,–,–,–,–,–,–,–,–,1.6
273,2009 EP election,7 Jun 2009,,44.9,38.8149,42.1169,3.73,2.813,1.36,2.92,1.34,0.70,0.62,0.20,–,0.10,–,–,0.92,–,–,–,–,3.3
274,Celeste-Tel[p 278],5 Jun 2009,1100,?,39.7155,42.0159,5.35,3.312,1.26,3.33,1.03,0.93,0.92,–,0.31,–,–,–,–,–,–,–,–,2.3
275,Sigma Dos/El Mundo[p 351][p 352][p 353],28 May 2009,1000,?,40.6,42.8,3.4,–,–,2.6,–,–,–,–,–,–,–,–,–,–,–,–,–,2.2
276,DYM/ABC[p 354],28 May 2009,1040,?,38.7,40.9,3.3,–,–,2.2,–,–,–,–,–,–,–,–,–,–,–,–,–,2.2
277,Noxa/La Vanguardia[p 355],28 May 2009,1000,?,40.8162/164,38.0150/153,4.23,4.014/16,1.46/7,4.85,0.91,–,–,–,–,–,–,–,–,–,–,–,–,2.8
278,Invymark/laSexta[p 347][p 356],22 May 2009,?,?,41.6,42.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.4
279,Obradoiro de Socioloxía/Público[p 357],20 May 2009,3206,?,41.1,42.2,3.7,2.6,1.0,3.5,1.0,0.8,–,–,–,–,–,–,–,–,–,–,–,1.1
280,GESOP/El Periódico[p 358][p 359][p 360],15 May 2009,1500,?,38.7155/157,42.3167/169,3.92/3,3.010/11,0.83/4,3.32/3,0.81,–,–,–,–,–,–,–,–,–,–,–,–,3.6
281,Celeste-Tel[p 278],8 May 2009,1100,?,39.9157,41.1158,5.54,3.312,1.26,3.43,1.13,1.03,0.92,–,0.31,–,–,–,–,–,–,–,–,1.2
282,NC Report/La Razón[p 361],30 Apr 2009,1000,70.3,39.1156/158,41.5160/162,5.63/6,3.511/12,1.26,3.32/3,1.12/3,0.82,0.82,–,0.31,–,–,–,–,–,–,–,–,2.4
283,Metroscopia/El País[p 362][p 363],28 Apr 2009,505,75.3,39.6,40.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.2
284,Obradoiro de Socioloxía/Público[p 364],22 Apr 2009,3204,?,40.0,42.3,3.8,2.8,1.1,3.5,1.0,0.6,–,–,–,–,–,–,–,–,–,–,–,2.3
285,CIS[p 365][p 366][p 338],21 Apr 2009,2481,?,40.8161/165,40.0154/156,4.54/5,3.411,1.05/6,2.93,1.55,0.60,–,–,–,–,–,–,–,–,–,–,–,0.8
286,Sigma Dos/El Mundo[p 367][p 368],8 Apr 2009,900,?,37.9,42.3,5.0,–,–,4.4,–,–,–,–,–,–,–,–,–,–,–,–,–,4.4
287,Celeste-Tel[p 278],7 Apr 2009,1100,?,40.1160,40.9156,5.44,3.311,1.26,3.33,1.13,1.03,0.92,–,0.31,–,–,–,–,–,–,–,–,0.8
288,NC Report/La Razón[p 369],28 Mar 2009,?,71.2,39.9157/159,40.8158/161,5.54/5,3.411/12,1.26,3.32/3,1.12/3,0.92,0.82/3,–,0.31,–,–,–,–,–,–,–,–,0.9
289,Invymark/laSexta[p 370],27 Mar 2009,?,?,41.9,41.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.3
290,TNS Demoscopia/Antena 3[p 248][p 371],24 Mar 2009,?,?,41.2,40.5,4.8,3.0,1.0,3.6,1.1,0.5,–,–,–,–,–,–,–,–,–,–,–,0.7
291,Obradoiro de Socioloxía/Público[p 372],18 Mar 2009,3205,?,39.2,40.7,5.0,3.2,1.0,3.7,0.9,0.5,–,–,–,–,–,–,–,–,–,–,–,1.5
292,Celeste-Tel[p 278],6 Mar 2009,1100,?,40.4161,40.7154,5.34,3.111,1.36,3.23,1.24,1.13,0.92,–,0.31,–,–,–,–,–,–,–,–,0.3
293,NC Report/La Razón[p 373],4 Mar 2009,?,?,40.4,40.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.2
294,Simple Lógica[p 374],23 Feb 2009,1012,68.5,43.2,37.6,3.7,2.8,1.1,3.2,–,–,–,–,–,–,–,–,–,–,–,–,–,5.6
295,GESOP/El Periódico[p 375][p 376][p 377],13 Feb 2009,800,?,41.0161/164,38.5154/156,4.84/5,2.810/11,1.16,4.43/5,1.02,–,–,–,–,–,–,–,–,–,–,–,–,2.5
296,Celeste-Tel[p 278],6 Feb 2009,1100,?,40.6162,40.3152,5.24,3.212,1.46,3.33,1.24,1.13,0.92,–,0.31,–,–,–,–,–,–,–,–,0.3
