,firm,date,size,turnout,PP,PSOE,IU,UPyD,CiU,Amaiur logo.svg,PNV,ERC,eQuo,/wiki/Galician_Nationalist_Bloc,CC,Compromís,FAC,PA,PRC,GBai,Més,Anova,CUP,C's,Vox,Podemos,lead
142,Celeste-Tel[p 556],6 Jul 2012,1100,62.8,40.6164/168,29.4117/125,10.219/20,5.15/7,4.215,1.56,1.67,1.13/5,–,1.23,0.72/3,1.01/3,0.30/1,–,–,0.21,–,–,–,–,–,–,11.2
143,Invymark/laSexta[p 563],6 Jul 2012,?,?,40.5,31.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.7
144,Metroscopia/El País[p 564][p 565][p 566],5 Jul 2012,1000,65,37.0,23.1,13.2,7.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,13.9
145,DYM/ABC[p 567],28 Jun 2012,857,?,36.8,23.1,13.9,7.5,4.3,–,1.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,13.7
146,GESOP/El Periódico[p 568],18 Jun 2012,1000,?,38.1168/172,28.1109/112,10.219/20,7.511/12,3.715/16,1.15/6,1.56/7,1.02/3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,10.0
147,PP[p 569],16 Jun 2012,?,?,38.0–39.0,29.0–29.5,9.0–9.5,7.5–8.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.0–9.5
148,Simple Lógica[p 548],15 Jun 2012,1017,?,39.2,24.4,10.7,6.8,2.5,–,1.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.8
149,Sigma Dos/El Mundo[p 570],14 Jun 2012,1000,?,39.1,29.2,9.3,6.8,4.4,1.4,1.4,1.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.9
150,Metroscopia/El País[p 571][p 572][p 573],7 Jun 2012,1004,65,37.1,25.9,12.0,5.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.2
151,Celeste-Tel[p 574],7 Jun 2012,1100,63.2,40.8164/170,29.3118/125,10.420/22,5.15/8,4.015,1.47,1.57,0.93/5,–,1.13,0.62,1.01/3,0.30/1,–,–,0.21,–,–,–,–,–,–,11.5
152,NC Report[p 575],30 May 2012,955,?,42.7,27.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.8
153,Simple Lógica[p 576],11 May 2012,1015,64.2,39.9,27.1,10.6,6.5,2.7,–,0.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,12.8
154,Metroscopia/El País[p 577][p 578][p 579],10 May 2012,1001,65,37.2,25.8,12.2,6.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.4
155,Celeste-Tel[p 574],8 May 2012,1100,64.8,41.1166/170,28.8117/123,10.520/21,5.15/7,3.714,1.56,1.67,1.03/4,–,1.23,0.72,0.81/2,0.30/1,–,–,0.21,–,–,–,–,–,–,12.3
156,PSOE[p 580],25 Apr 2012,?,?,39.8,31.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.8
157,CIS[p 581][p 582][p 583],17 Apr 2012,2484,?,40.6175/176,29.6118/119,8.615,5.15,3.815,1.37,1.25,1.75,–,0.3?,0.3?,0.8?,0.4?,–,–,0.3?,–,–,–,–,–,–,11.0
158,Metroscopia/El País[p 584][p 585],12 Apr 2012,1000,65,38.1,23.0,11.6,5.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,15.1
159,Simple Lógica[p 576],11 Apr 2012,1026,?,42.0,24.9,10.5,6.5,3.8,–,1.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,17.1
160,Celeste-Tel[p 586],9 Apr 2012,1100,65.6,41.3168/171,28.9118/121,10.218/20,5.35/7,3.915,1.46,1.57,1.23/4,–,1.03,0.72,0.61,0.31,–,–,0.21,–,–,–,–,–,–,12.4
161,Celeste-Tel[p 586],7 Mar 2012,1100,67.2,45.1186/188,26.1102/104,9.514/15,5.75/8,4.116,1.36,1.47,1.23/4,–,1.03,0.62,0.61,0.41,–,–,0.21,–,–,–,–,–,–,19.0
162,Metroscopia/El País[p 587][p 588][p 589],1 Mar 2012,1007,71.7,46.3,24.4,9.1,5.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,21.9
163,GESOP/El Periódico[p 590],28 Feb 2012,1000,?,42.0179/181,28.2110/112,7.713/14,6.49/10,3.614/15,1.87,1.25,1.23/4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,13.8
164,NC Report/La Razón[p 591],17 Feb 2012,4800,63.8,45.6186/187,25.6104/108,8.812/13,5.56/7,4.115/16,1.57,1.45,1.13,–,0.82,0.62/3,0.61/2,0.41,–,–,0.21,–,–,–,–,–,–,20.0
165,Metroscopia/El País[p 592][p 593][p 594],9 Feb 2012,1003,71.7,46.2,23.0,8.8,6.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,23.2
166,Celeste-Tel[p 586],7 Feb 2012,1100,67.8,44.6184/185,27.4105/107,9.114/15,5.45/7,4.115,1.46/7,1.46,1.23/4,–,1.03,0.62,0.71/2,0.41,–,–,0.21,–,–,–,–,–,–,17.2
167,NC Report/La Razón[p 595],20 Jan 2012,1000,68.2,46.3191/193,27.8103/105,7.411/12,5.15,4.215/16,1.37,1.45,1.13,–,0.82,0.62,0.51,0.41,–,–,0.21,–,–,–,–,–,–,18.5
168,CIS[p 596][p 597],15 Jan 2012,2480,?,42.7,28.0,7.9,5.7,3.4,1.1,1.4,1.4,–,0.5,0.4,0.8,0.3,–,–,0.3,–,–,–,–,–,–,14.7
169,Celeste-Tel[p 586],6 Jan 2012,1100,69.1,46.1189/190,28.8107/108,7.612,5.25,4.015,1.36,1.46,1.13,–,0.82,0.62,0.51/2,0.41,–,–,0.21,–,–,–,–,–,–,17.3
170,Metroscopia/El País[p 598][p 599][p 600],5 Jan 2012,1000,71.7,46.4,26.5,7.7,4.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,19.9
171,Metroscopia/El País[p 601][p 602],15 Dec 2011,1000,71.7,44.9,28.4,7.0,4.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,16.5
172,2011 general election,20 Nov 2011,,68.9,44.6186,28.8110,6.911,4.75,4.216,1.47,1.35,1.13,0.90,0.82,0.62,0.51,0.41,0.30,0.20,0.21,–,–,–,–,–,–,15.8
