,firm,date,size,lead,PP,PSOE,IU,CiU,PNV,lead,CC,PA,ERC,ICV,EA,CHA,lead,Aralar,NaBai,lead
166,Sigma Dos/El Mundo[p 277][p 200],26–28 Dec 2001,?,?,44.7,35.5,4.4,3.6,1.5,–,–,–,–,–,–,–,–,–,–,9.2
167,Gallup[p 278][p 279][p 280],3–28 Dec 2001,2020,70.6,42.2,38.4,5.2,3.4,1.5,–,–,–,–,–,–,–,–,–,–,3.8
168,Opina/Cadena SER[p 281][p 282],24 Dec 2001,?,?,42.0,37.0,5.5,4.0,2.0,1.4,–,–,–,–,–,–,–,–,–,5.0
169,Opina/Cadena SER[p 283][p 284][p 285],5 Dec 2001,1000,?,41.5,39.0,5.5,5.0,2.0,–,–,–,–,–,–,–,–,–,–,2.5
170,Gallup[p 286][p 287][p 288],2–28 Nov 2001,2021,69.8,44.2,36.8,5.3,3.5,1.4,–,–,–,–,–,–,–,–,–,–,7.4
171,Opina/Cadena SER[p 289][p 290],20 Nov 2001,1000,?,42.5,39.0,5.0,4.5,2.0,–,–,–,–,–,–,–,–,–,–,3.5
172,Opina/Cadena SER[p 291][p 292],7 Nov 2001,1000,?,43.0,38.5,5.5,4.5,1.5,–,–,–,–,–,–,–,–,–,–,4.5
173,Gallup[p 293][p 294][p 295],1–30 Oct 2001,2016,70.1,43.9,37.0,4.9,3.8,1.5,–,–,–,–,–,–,–,–,–,–,6.9
174,CIS[p 296][p 297][p 298][p 299],24–29 Oct 2001,2499,74.1,43.5180,34.0125,5.58,4.516,1.47,1.4?,–,–,–,–,–,–,–,–,–,9.5
175,La Vanguardia[p 300],28 Oct 2001,?,?,41.3167,37.0138,–,–,–,–,–,–,–,–,–,–,–,–,–,4.3
176,Opina/Cadena SER[p 301][p 302],24 Oct 2001,1000,?,44.0,38.5,5.0,4.5,1.5,–,–,–,–,–,–,–,–,–,–,5.5
177,Vox Pública/El Periódico[p 303],22–23 Oct 2001,1509,?,44.5,37.9,5.6,3.7,1.4,–,–,–,–,–,–,–,–,–,–,6.6
178,Intercampo/GETS[p 109],19 Sep–4 Oct 2001,?,?,42.4,36.3,5.6,4.1,1.8,–,–,–,–,–,–,–,–,–,–,6.1
179,Opina/Cadena SER[p 302][p 239],2 Oct 2001,?,?,43.5,40.0,5.5,4.0,1.5,–,–,–,–,–,–,–,–,–,–,3.5
180,Gallup[p 304][p 305][p 306],6–27 Sep 2001,2027,70.3,42.3,37.2,5.5,4.0,1.6,–,–,–,–,–,–,–,–,–,–,5.1
181,Opina/Cadena SER[p 307][p 302][p 239],18 Sep 2001,1000,?,43.5,39.0,5.0,4.5,1.5,–,–,–,–,–,–,–,–,–,–,4.5
182,Opina/Cadena SER[p 308][p 309],5 Sep 2001,1000,?,44.0,38.0,5.0,4.6,2.0,–,–,–,–,–,–,–,–,–,–,6.0
183,Gallup[p 310][p 311][p 312],2–30 Jul 2001,2024,70.2,42.1,38.3,5.1,3.4,2.0,–,–,–,–,–,–,–,–,–,–,3.8
184,CIS[p 313][p 314][p 298],13–18 Jul 2001,2485,75.1,43.6178,34.9129,5.6?,3.7?,1.5?,1.5?,–,–,–,–,–,–,–,–,–,8.7
185,Opina/Cadena SER[p 315][p 316],30 Jun 2001,1000,?,43.5,40.0,5.0,4.5,1.5,–,–,–,–,–,–,–,–,–,–,3.5
186,Vox Pública/El Periódico[p 317],25–28 Jun 2001,1506,?,44.0,37.1,5.9,3.2,1.2,–,–,–,–,–,–,–,–,–,–,6.9
187,Gallup[p 318][p 319][p 320],6–27 Jun 2001,2008,69.5,43.6,36.8,5.2,3.6,1.5,–,–,–,–,–,–,–,–,–,–,6.8
188,Sigma Dos/El Mundo[p 321][p 200],24 Jun 2001,?,?,43.4,35.8,5.4,3.9,1.4,–,–,–,–,–,–,–,–,–,–,7.6
189,Opina/Cadena SER[p 322][p 323][p 324],13 Jun 2001,1000,?,44.0,38.0,6.0,4.5,1.5,–,–,–,–,–,–,–,–,–,–,6.0
190,La Vanguardia[p 325],30 May 2001,?,?,43.5180,35.1128,–,–,–,–,–,–,–,–,–,–,–,–,–,8.4
191,Opina/Cadena SER[p 326][p 327],30 May 2001,1000,?,43.0,39.5,5.0,4.5,1.5,–,–,–,–,–,–,–,–,–,–,3.5
192,Gallup[p 328][p 329][p 330],4–25 May 2001,2031,69.8,45.0,34.3,6.3,4.3,1.4,–,–,–,–,–,–,–,–,–,–,10.7
193,Opina/Cadena SER[p 331][p 332],14 May 2001,1000,?,44.0,38.0,5.5,4.5,2.3,–,–,–,–,–,–,–,–,–,–,6.0
194,CIS[p 333][p 334][p 298],20–30 Apr 2001,2492,73.9,43.5179,35.2131,4.9?,4.0?,1.3?,1.4?,–,–,–,–,–,–,–,–,–,8.3
195,Gallup[p 335][p 336][p 337],4–25 Apr 2001,2026,69.8,43.4,37.6,4.9,3.4,1.5,–,–,–,–,–,–,–,–,–,–,5.8
196,Opina/Cadena SER[p 338][p 339],24 Apr 2001,1000,?,44.0,38.5,5.5,4.0,2.0,–,–,–,–,–,–,–,–,–,–,5.5
197,Vox Pública/El Periódico[p 340],16–18 Apr 2001,1514,?,43.7,38.6,3.7,3.4,1.5,–,–,–,–,–,–,–,–,–,–,5.1
198,Opina/Cadena SER[p 341][p 342],11 Apr 2001,?,?,43.0,40.0,4.5,4.5,1.7,–,–,–,–,–,–,–,–,–,–,3.0
199,Opina/Cadena SER[p 343][p 344][p 345],4 Apr 2001,?,?,42.0,37.0,5.0,4.0,1.5,–,–,–,–,–,–,–,–,–,–,5.0
200,Gallup[p 346][p 347][p 348],5–30 Mar 2001,2026,72.3,43.4,35.6,5.5,3.7,1.3,–,–,–,–,–,–,–,–,–,–,7.8
201,Opina/Cadena SER[p 349][p 350],7 Mar 2001,?,?,43.0,38.5,4.5,4.5,2.0,–,–,–,–,–,–,–,–,–,–,4.5
202,La Vanguardia[p 325],28 Feb 2001,?,?,42.7177,35.9132,–,–,–,–,–,–,–,–,–,–,–,–,–,6.8
203,Gallup[p 351][p 352][p 353],1–26 Feb 2001,2036,70.3,42.4,37.5,5.4,3.4,1.7,–,–,–,–,–,–,–,–,–,–,4.9
204,Opina/Cadena SER[p 354][p 355][p 356],21 Feb 2001,1000,?,43.0,40.0,4.5,4.0,1.5,–,–,–,–,–,–,–,–,–,–,3.0
205,Sigma Dos/El Mundo[p 357][p 358][p 200],18 Feb 2001,800,?,43.5,35.9,4.6,4.1,1.5,–,–,–,–,–,–,–,–,–,–,7.6
206,Opina/Cadena SER[p 359][p 360],7 Feb 2001,?,?,43.0,40.0,5.0,4.5,2.0,–,–,–,–,–,–,–,–,–,–,3.0
207,Vox Pública/El Periódico[p 361][p 362],29–31 Jan 2001,1519,?,43.5,37.5,4.0,3.5,1.5,–,–,–,–,–,–,–,–,–,–,6.0
208,Gallup[p 363][p 364][p 365],8–27 Jan 2001,2028,71.6,41.9,37.0,5.3,4.4,1.7,–,–,–,–,–,–,–,–,–,–,4.9
209,Opina/Cadena SER[p 366][p 360],24 Jan 2001,?,?,44.0,39.0,4.5,4.5,1.8,–,–,–,–,–,–,–,–,–,–,5.0
210,CIS[p 367][p 368][p 298],18–23 Jan 2001,2486,73.9,43.5179,36.2132,5.1?,3.9?,1.4?,1.2?,–,–,–,–,–,–,–,–,–,7.3
211,Opina/Cadena SER[p 369],16 Jan 2001,?,?,42.0,39.0,–,–,–,–,–,–,–,–,–,–,–,–,–,3.0
212,Opina/Cadena SER[p 360],10 Jan 2001,?,?,42.0,38.5,5.0,4.9,1.5,–,–,–,–,–,–,–,–,–,–,3.5
213,Sigma Dos/El Mundo[p 370][p 200],22–29 Dec 2000,?,?,44.6,36.2,4.2,4.0,1.4,–,–,–,–,–,–,–,–,–,–,8.4
214,Opitel/Tele 5[p 371],28 Dec 2000,?,?,44.5,38.0,3.8,4.5,2.0,–,–,–,–,–,–,–,–,–,–,6.5
215,Gallup[p 95],7–24 Dec 2000,?,?,44.4,36.9,5.4,3.7,1.9,–,–,–,–,–,–,–,–,–,–,7.5
216,Opina/Cadena SER[p 372][p 360],20 Dec 2000,?,?,44.5,38.5,4.2,4.3,1.8,–,–,–,–,–,–,–,–,–,–,6.0
217,Opina/Cadena SER[p 373][p 360],5 Dec 2000,?,?,44.5,38.5,5.0,4.0,2.0,–,–,–,–,–,–,–,–,–,–,6.0
218,La Vanguardia[p 325],28 Nov 2000,?,?,42.6176,36.0133,–,–,–,–,–,–,–,–,–,–,–,–,–,6.6
219,Opina/Cadena SER[p 374][p 360],22 Nov 2000,?,?,45.0,38.0,3.0,4.0,1.5,–,–,–,–,–,–,–,–,–,–,7.0
220,Opina/Cadena SER[p 374],8 Nov 2000,?,?,44.0,36.0,–,–,–,–,–,–,–,–,–,–,–,–,–,8.0
221,Vox Pública/El Periódico[p 375],30–31 Oct 2000,1210,?,44.0,36.7,4.6,4.1,1.2,–,–,–,–,–,–,–,–,–,–,7.3
222,Sigma Dos/El Mundo[p 376][p 200],30 Oct 2000,?,?,46.2,34.2,4.9,3.2,1.5,–,–,–,–,–,–,–,–,–,–,12.0
223,Opina/Cadena SER[p 360],25 Oct 2000,?,?,42.2,32.8,5.1,3.3,1.7,–,–,–,–,–,–,–,–,–,–,9.4
224,CIS[p 128][p 377][p 378][p 379],17–22 Oct 2000,2497,?,43.7173/179,36.2131/134,5.57/8,3.814,1.57,1.3?,–,–,–,–,–,–,–,–,–,7.5
225,Demoscopia/El País[p 380][p 95],9 Oct 2000,?,?,45.0,35.8,6.9,4.4,1.4,–,–,–,–,–,–,–,–,–,–,9.2
226,Intercampo/GETS[p 109],20 Sep–5 Oct 2000,?,?,42.9,33.7,5.6,4.0,1.3,–,–,–,–,–,–,–,–,–,–,9.2
227,Opitel/Tele 5[p 381],2 Oct 2000,?,?,44.8,34.9,4.6,4.5,1.0,–,–,–,–,–,–,–,–,–,–,9.9
228,Gallup[p 382][p 383][p 384],1–27 Sep 2000,2025,71.4,45.0,34.9,5.3,4.1,1.3,–,–,–,–,–,–,–,–,–,–,10.1
229,La Vanguardia[p 325],20 Jul 2000,?,?,47.1188,31.5119,–,–,–,–,–,–,–,–,–,–,–,–,–,15.6
230,CIS[p 385][p 386][p 387][p 298][p 379],13–18 Jul 2000,2493,72.9,46.6186,31.6119/120,5.99,4.315/16,1.47,1.5?,–,–,–,–,–,–,–,–,–,15.0
231,Sigma Dos/El Mundo[p 388][p 200],16 Jul 2000,?,?,45.7,33.6,5.9,3.5,1.6,–,–,–,–,–,–,–,–,–,–,12.1
232,Vox Pública/El Periódico[p 389],26–30 Jun 2000,2300,?,46.5,30.5,5.6,3.8,1.0,–,–,–,–,–,–,–,–,–,–,16.0
233,La Vanguardia[p 325],7 Jun 2000,?,?,47.5189,31.1118,–,–,–,–,–,–,–,–,–,–,–,–,–,16.4
234,CIS[p 390][p 391][p 298],29 Apr–3 May 2000,2491,72.0,45.3185,32.7125,5.9?,4.0?,1.2?,1.5?,–,–,–,–,–,–,–,–,–,12.6
235,2000 general election,12 Mar 2000,,68.7,44.5183,34.2125,5.48,4.215,1.57,1.33,1.14,0.91,0.81,0.51,0.41,0.31,0.10,–,–,10.3
236,^ Quick count.,,,,,,,,,,,,,,,,,,,
